BRANDON HAGEL,TBL
TYSON JOST,MIN
NICO STURM,COL
TAYLOR RADDYSH,CHI
BORIS KATCHOUK,CHI
CALLE JARNKROK,CGY
BEN CHIAROT,FLA
FRANK VATRANO,NYR
JOSH MANSON,COL
ILYA LYUBUSHKIN,TOR
RYAN DZINGEL,SJS
NICK RITCHIE,ARZ
TYLER TOFFOLI,CGY
ADAM BROOKS,WPG
HAMPUS LINDHOLM,BOS
NICOLAS DESLAURIERS,MIN
CLAUDE GIROUX,FLA
OWEN TIPPETT,PHI
CONNOR BUNNAMAN,FLA
JOHN MOORE,ANA
URHO VAAKANAINEN,ANA
KODIE CURRAN,BOS
GERRY MAYHEW,ANA
MARK GIORDANO,TOR
TRAVIS HAMONIC,OTT
ROBERT HAGG,FLA
COLIN BLACKWELL,TOR
TRAVIS DERMOTT,VAN
TROY STECHER,LAK
MATHIEU JOSEPH,OTT
NICK PAUL,TBL
JEREMY LAUZON,NSH
MASON APPLETON,WPG
ANDREW COPP,NYR
MORGAN BARRON,WPG
ARTTURI LEHKONEN,COL
JUSTIN BARRON,MTL
NICK MERKLEY,NYR
JOSH BROWN,BOS
JOHAN LARSSON,WSH
OSKAR SUNDQVIST,DET
JAKE WALMAN,DET
LUKE WITKOWSKI,STL
NICK LEDDY,STL
JACOB MIDDLETON,MIN
JUSTIN BRAUN,NYR
ALEX BIEGA,NSH
MARCUS JOHANSSON,WSH
DANIEL SPRONG,SEA
ANDREW COGLIANO,COL
VLADISLAV NAMESTNIKOV,DAL
RICKARD RAKELL,PIT
ZACH ASTON-REESE,ANA
BRETT KULAK,EDM
WILLIAM LAGESSON,MTL
MAX DOMI,CAR
RILEY NASH,TBL
DOMINIK SIMON,ANA
DERICK BRASSARD,EDM
RYAN CARPENTER,CGY
ZACH SANFORD,WPG
ALEX BARRE-BOULET,SEA
